populationID	populationName	location	geographicRegion	dataSet-of-origin
886	Tucuman	Argentina	LATINO	Latino
887	RGS	Brazil	LATINO	Latino
891	Pasto	Colombia	LATINO	Latino
892	Peque	Colombia	LATINO	Latino
893	Medellin	Colombia	LATINO	Latino
894	Cundinamarca	Colombia	LATINO	Latino
901	AshkenaziJ	Israel	EUROPE	Jewish
902	MoroccanJ	Israel	MIDDLE_EAST	Jewish
903	TunisianJ	Israel	MIDDLE_EAST	Jewish
904	TurkishJ	Israel	MIDDLE_EAST	Jewish
1001	EastHigh-Gimi-Goroka	NewGuinea	OCEANIA	PacificIslander
1003	Sepik	NewGuinea	OCEANIA	PacificIslander
1004	Kove	NewBritain	OCEANIA	PacificIslander
1005	Anem-Keraiai	NewBritain	OCEANIA	PacificIslander
1006	Anem-Purailing	NewBritain	OCEANIA	PacificIslander
1007	Mangseng	NewBritain	OCEANIA	PacificIslander
1008	Melamela	NewBritain	OCEANIA	PacificIslander
1009	Mengen	NewBritain	OCEANIA	PacificIslander
1010	Sulka-Ganai	NewBritain	OCEANIA	PacificIslander
1011	Sulka-Watwat	NewBritain	OCEANIA	PacificIslander
1012	Kol	NewBritain	OCEANIA	PacificIslander
1013	Nakanai-Bileki	NewBritain	OCEANIA	PacificIslander
1014	Nakanai-Loso	NewBritain	OCEANIA	PacificIslander
1015	Mamusi-Kisiluvi	NewBritain	OCEANIA	PacificIslander
1016	Mamusi-Lingite	NewBritain	OCEANIA	PacificIslander
1017	Ata-Uasilau	NewBritain	OCEANIA	PacificIslander
1018	Ata-Lugei	NewBritain	OCEANIA	PacificIslander
1019	Baining-Malasait	NewBritain	OCEANIA	PacificIslander
1020	Baining-Marabu	NewBritain	OCEANIA	PacificIslander
1021	Baining-Rangulit	NewBritain	OCEANIA	PacificIslander
1022	Tolai-Kabakada	NewBritain	OCEANIA	PacificIslander
1023	Tolai-Vunairoto	NewBritain	OCEANIA	PacificIslander
1024	Mussau	Mussau	OCEANIA	PacificIslander
1025	Lavongai-North	NewHanover	OCEANIA	PacificIslander
1026	Lavongai-South	NewHanover	OCEANIA	PacificIslander
1027	Tigak	NewIreland	OCEANIA	PacificIslander
1028	Nalik	NewIreland	OCEANIA	PacificIslander
1029	Notsi	NewIreland	OCEANIA	PacificIslander
1030	Kuot-Kabil	NewIreland	OCEANIA	PacificIslander
1031	Kuot-Lamalaua	NewIreland	OCEANIA	PacificIslander
1032	Madak	NewIreland	OCEANIA	PacificIslander
1033	Saposa	Bougainville	OCEANIA	PacificIslander
1034	Teop	Bougainville	OCEANIA	PacificIslander
1035	Aita	Bougainville	OCEANIA	PacificIslander
1037	Nasioi	Bougainville	OCEANIA	PacificIslander
1040	Micronesians	Micronesia	OCEANIA	PacificIslander
1041	Samoans	Polynesia	OCEANIA	PacificIslander
1042	Maoris	Polynesia	OCEANIA	PacificIslander
1043	Ami	Taiwan	EAST_ASIA	PacificIslander
1044	Taruko	Taiwan	EAST_ASIA	PacificIslander
1101	Hadza	Tanzania	AFRICA	African
1102	Sandawe	Tanzania	AFRICA	African
1103	Iraqw	Tanzania	AFRICA	African
1104	Turu	Tanzania	AFRICA	African
1105	Mbugwe	Tanzania	AFRICA	African
1106	Rangi	Tanzania	AFRICA	African
1107	Burunge	Tanzania	AFRICA	African
1108	Maasai-Tanzania	Tanzania	AFRICA	African
1109	Akie	Tanzania	AFRICA	African
1110	Pare	Tanzania	AFRICA	African
1111	Mbugu	Tanzania	AFRICA	African
1112	Baka	Cameroon	AFRICA	African
1113	Bakola	Cameroon	AFRICA	African
1114	Bedzan	Cameroon	AFRICA	African
1115	Mvae	Cameroon	AFRICA	African
1116	Ngumba	Cameroon	AFRICA	African
1117	FulaniAdamawa	Cameroon	AFRICA	African
1118	Kanuri	Cameroon	AFRICA	African
1119	Mada	Cameroon	AFRICA	African
1120	Zime	Cameroon	AFRICA	African
1121	Ouldeme	Cameroon	AFRICA	African
1122	Giziga	Cameroon	AFRICA	African
1123	Mandara	Cameroon	AFRICA	African
1124	Baggara	Cameroon	AFRICA	African
1125	Kotoko	Cameroon	AFRICA	African
1126	Zulgo	Cameroon	AFRICA	African
1127	Bamoun	Cameroon	AFRICA	African
1128	Banen	Cameroon	AFRICA	African
1129	Bafia	Cameroon	AFRICA	African
1130	Lemande	Cameroon	AFRICA	African
1131	Batanga	Cameroon	AFRICA	African
1132	Podokwo	Cameroon	AFRICA	African
1159	Yoruba	Nigeria	AFRICA	African
1185	Bassange	Nigeria	AFRICA	African
1186	Igbo	Nigeria	AFRICA	African
1187	Igala	Nigeria	AFRICA	African
1188	Gwari	Nigeria	AFRICA	African
1189	Hausa-Nigeria	Nigeria	AFRICA	African
1190	BejaBanuamir	Sudan	MIDDLE_EAST	African
1191	Dinka	Sudan	AFRICA	African
1192	Datoga	Tanzania	AFRICA	African
1193	Sukuma	Tanzania	AFRICA	African
1194	Gogo	Tanzania	AFRICA	African
1195	FiomeGorowa	Tanzania	AFRICA	African
1196	Iyassa	Cameroon	AFRICA	African
1197	Fang	Cameroon	AFRICA	African
1198	Mabea	Cameroon	AFRICA	African
1199	Yambassa	Cameroon	AFRICA	African
1200	SouthTikar	Cameroon	AFRICA	African
1201	NorthTikar	Cameroon	AFRICA	African
1202	Ntumu	Cameroon	AFRICA	African
1203	Massa	Cameroon	AFRICA	African
1204	Tupuri	Cameroon	AFRICA	African
1205	Bulu	Cameroon	AFRICA	African
1206	Ashanti	Ghana	AFRICA	African
1207	Brong	Ghana	AFRICA	African
1209	Chicago	USA	AFROEUROPEAN	African
1210	Pittsburgh	USA	AFROEUROPEAN	African
1211	Baltimore	USA	AFROEUROPEAN	African
1212	NorthCarolina	USA	AFROEUROPEAN	African
1214	MaasaiMumonyot	Kenya	AFRICA	African
1215	MaasaiIlgwesi	Kenya	AFRICA	African
1216	Samburu	Kenya	AFRICA	African
1217	Yaaku	Kenya	AFRICA	African
1219	Sambaa	Tanzania	AFRICA	African
1220	Dorobo	Tanzania	AFRICA	African
1222	Australian	Australia	OCEANIA	African
1223	BejaHadandawa	Sudan	MIDDLE_EAST	African
1224	Tugen	Kenya	AFRICA	African
1225	Burji	Ethiopia	AFRICA	African
1226	Marakwet	Kenya	AFRICA	African
1227	Luhya	Kenya	AFRICA	African
1228	Luo	Kenya	AFRICA	African
1229	Kikuyu	Kenya	AFRICA	African
1230	Sengwer	Kenya	AFRICA	African
1231	Okiek	Kenya	AFRICA	African
1232	Wata	Kenya	AFRICA	African
1233	Nandi	Kenya	AFRICA	African
1234	ElMolo	Kenya	AFRICA	African
1235	Gabra	Kenya	AFRICA	African
1236	Sabaot	Kenya	AFRICA	African
1237	Rendille	Kenya	AFRICA	African
1238	Turkana	Kenya	AFRICA	African
1239	Pokot	Kenya	AFRICA	African
1240	Borana	Kenya	AFRICA	African
1241	Ilchamus	Kenya	AFRICA	African
1242	Konso	Ethiopia	AFRICA	African
1243	Laka	Chad	AFRICA	African
1244	Ngambaye	Chad	AFRICA	African
1245	Kaba	Chad	AFRICA	African
1246	Bulala	Chad	AFRICA	African
1247	Kanembou	Chad	AFRICA	African
1248	Mbum	CentralAfricanRepublic	AFRICA	African
1249	TutsiHutu	Rwanda	AFRICA	African
1250	Yakoma	CentralAfricanRepublic	AFRICA	African
1252	Gbaya	CentralAfricanRepublic	AFRICA	African
1253	FulaniMbororo	Cameroon	AFRICA	African
1254	Wimbum	Cameroon	AFRICA	African
1255	Batie	Cameroon	AFRICA	African
1256	Hausa-Cameroon	Cameroon	AFRICA	African
1257	Kongo	DemocraticRepublicCongo	AFRICA	African
1258	Barega	DemocraticRepublicCongo	AFRICA	African
1259	Baluba	DemocraticRepublicCongo	AFRICA	African
1262	Dioula	IvoryCoast	AFRICA	African
1266	Ewondo	Cameroon	AFRICA	African
1267	Eton	Cameroon	AFRICA	African
1268	Nuer	Sudan	AFRICA	African
1269	Shilook	Sudan	AFRICA	African
1270	Nyimang	Sudan	AFRICA	African
1271	Sara-various	Chad	AFRICA	African
1272	CapeTown	SouthAfrica	AFROEUROPEAN	African
1273	Venda	SouthAfrica	AFRICA	African
1274	!XunKxoe	SouthAfrica	AFRICA	African
1275	Xhosa	SouthAfrica	AFRICA	African
1276	Koma	Nigeria	AFRICA	African
1277	BetaIsrael	Ethiopia	AFRICA	African
1278	Dogon	Mali	AFRICA	African
1280	Temani	Yemen	MIDDLE_EAST	African
1281	Fulani-Nigeria	Nigeria	AFRICA	African
