populationID	populationName	location	geographicRegion	dataSet-of-origin	Latitude[degreesNorth]	Longitude[degreesEast]
833	Aymara	Chile	AMERICA	NativeAmerican	-22	-70
834	Huilliche	Chile	AMERICA	NativeAmerican	-41	-73
835	Guarani	Brazil	AMERICA	NativeAmerican	-23	-54
836	Ache	Paraguay	AMERICA	NativeAmerican	-24	-56
837	Kaingang	Brazil	AMERICA	NativeAmerican	-24	-52.5
838	Quechua	Peru	AMERICA	NativeAmerican	-14	-74
841	Kogi	Colombia	AMERICA	NativeAmerican	11	-74
842	Zenu	Colombia	AMERICA	NativeAmerican	9	-75
843	Inga	Colombia	AMERICA	NativeAmerican	1	-77
844	Wayuu	Colombia	AMERICA	NativeAmerican	11	-73
845	TicunaArara	Colombia	AMERICA	NativeAmerican	-4	-70
846	TicunaTarapaca	Colombia	AMERICA	NativeAmerican	-4	-70
847	Embera	Colombia	AMERICA	NativeAmerican	7	-76
848	Waunana	Colombia	AMERICA	NativeAmerican	5	-77
849	Arhuaco	Colombia	AMERICA	NativeAmerican	11	-73.8
871	Oriente	Guatemala	LATINO	Latino	14.633333	-90.516667
872	MexicoCity	Mexico	LATINO	Latino	19.4	-99.2
881	CVCR	CostaRica	LATINO	Latino	9.933333	-84.083333
882	Quetalmahue	Chile	LATINO	Latino	-41.466667	-73.533333
883	Paposo	Chile	LATINO	Latino	-25.05	-70.266667
884	Catamarca	Argentina	LATINO	Latino	-28.466667	-65.783333
885	Salta	Argentina	LATINO	Latino	-24.783333	-65.416667
886	Tucuman	Argentina	LATINO	Latino	-26.816667	-65.216667
887	RGS	Brazil	LATINO	Latino	-31	-54
891	Pasto	Colombia	LATINO	Latino	1.216667	-77.283333
892	Peque	Colombia	LATINO	Latino	7.316667	-75.833333
893	Medellin	Colombia	LATINO	Latino	6.25	-75.583333
894	Cundinamarca	Colombia	LATINO	Latino	4.6	-74.083333
901	AshkenaziJ	Israel	EUROPE	Jewish	31.666667	34.566667
902	MoroccanJ	Israel	MIDDLE_EAST	Jewish	31.666667	34.566667
903	TunisianJ	Israel	MIDDLE_EAST	Jewish	31.666667	34.566667
904	TurkishJ	Israel	MIDDLE_EAST	Jewish	31.666667	34.566667
1001	EastHigh-Gimi-Goroka	NewGuinea	OCEANIA	PacificIslander	-6.083	145.4
1003	Sepik	NewGuinea	OCEANIA	PacificIslander	-3.583	143.333
1004	Kove	NewBritain	OCEANIA	PacificIslander	-5.4667	148.95
1005	Anem-Keraiai	NewBritain	OCEANIA	PacificIslander	-5.45	148.9833
1006	Anem-Purailing	NewBritain	OCEANIA	PacificIslander	-5.45	148.984
1007	Mangseng	NewBritain	OCEANIA	PacificIslander	-5.933	150.7
1008	Melamela	NewBritain	OCEANIA	PacificIslander	-5	151.25
1009	Mengen	NewBritain	OCEANIA	PacificIslander	-5.1	151.4
1010	Sulka-Ganai	NewBritain	OCEANIA	PacificIslander	-4.5	152.333
1011	Sulka-Watwat	NewBritain	OCEANIA	PacificIslander	-4.483	152.3
1012	Kol	NewBritain	OCEANIA	PacificIslander	-5.383	151.633
1013	Nakanai-Bileki	NewBritain	OCEANIA	PacificIslander	-5.75	150.8
1014	Nakanai-Loso	NewBritain	OCEANIA	PacificIslander	-5.483	150.8
1015	Mamusi-Kisiluvi	NewBritain	OCEANIA	PacificIslander	-5.7333	151.0833
1016	Mamusi-Lingite	NewBritain	OCEANIA	PacificIslander	-5.867	151.1
1017	Ata-Uasilau	NewBritain	OCEANIA	PacificIslander	-5.683	151
1018	Ata-Lugei	NewBritain	OCEANIA	PacificIslander	-5.6	151
1019	Baining-Malasait	NewBritain	OCEANIA	PacificIslander	-4.467	151.9
1020	Baining-Marabu	NewBritain	OCEANIA	PacificIslander	-4.633	152.3
